2018-01-22 22:51:23.938 [main] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'app': initialization started
2018-01-22 22:51:23.958 [main] INFO  org.springframework.web.context.support.AnnotationConfigWebApplicationContext - Refreshing WebApplicationContext for namespace 'app-servlet': startup date [Mon Jan 22 22:51:23 CST 2018]; root of context hierarchy
2018-01-22 22:51:24.118 [main] INFO  org.springframework.web.context.support.AnnotationConfigWebApplicationContext - Registering annotated classes: [class com.open.warehouse.config.WebConfig]
2018-01-22 22:51:24.418 [main] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-01-22 22:51:25.058 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6eed46e9, org.springframework.security.web.context.SecurityContextPersistenceFilter@74c7522c, org.springframework.security.web.header.HeaderWriterFilter@e154848, org.springframework.web.filter.CharacterEncodingFilter@4d20616a, org.springframework.security.web.csrf.CsrfFilter@63187d63, org.springframework.security.web.authentication.logout.LogoutFilter@62cd562d, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@628ba266, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6d17914a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@38c10190, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6ad6ae45, org.springframework.security.web.session.SessionManagementFilter@60fc7f43, org.springframework.security.web.access.ExceptionTranslationFilter@67afe909, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4656fcc5]
2018-01-22 22:51:25.418 [main] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.2.Final
2018-01-22 22:51:25.618 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'app-servlet': startup date [Mon Jan 22 22:51:23 CST 2018]; root of context hierarchy
2018-01-22 22:51:25.738 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'app-servlet': startup date [Mon Jan 22 22:51:23 CST 2018]; root of context hierarchy
2018-01-22 22:51:25.778 [main] INFO  com.open.warehouse.job.SyncData - start sync order task...
2018-01-22 22:51:25.828 [main] INFO  org.springframework.scheduling.annotation.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2018-01-22 22:51:25.838 [main] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'app': initialization completed in 1900 ms
2018-01-22 22:52:04.762 [qtp1620041759-20] WARN  org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/app/view/login] in DispatcherServlet with name 'app'
2018-01-22 22:52:04.824 [qtp1620041759-18] WARN  org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/app/view/login] in DispatcherServlet with name 'app'
